on x=_5..47,y=_31..22,z=_19..33
on x=_44..5,y=_27..21,z=_14..35
on x=_49.._1,y=_11..42,z=_10..38
on x=_20..34,y=_40..6,z=_44..1
off x=26..39,y=40..50,z=_2..11
on x=_41..5,y=_41..6,z=_36..8
off x=_43.._33,y=_45.._28,z=7..25
on x=_33..15,y=_32..19,z=_34..11
off x=35..47,y=_46.._34,z=_11..5
on x=_14..36,y=_6..44,z=_16..29
on x=_57795.._6158,y=29564..72030,z=20435..90618
on x=36731..105352,y=_21140..28532,z=16094..90401
on x=30999..107136,y=_53464..15513,z=8553..71215
on x=13528..83982,y=_99403.._27377,z=_24141..23996
on x=_72682.._12347,y=18159..111354,z=7391..80950
on x=_1060..80757,y=_65301.._20884,z=_103788.._16709
on x=_83015.._9461,y=_72160.._8347,z=_81239.._26856
on x=_52752..22273,y=_49450..9096,z=54442..119054
on x=_29982..40483,y=_108474.._28371,z=_24328..38471
on x=_4958..62750,y=40422..118853,z=_7672..65583
on x=55694..108686,y=_43367..46958,z=_26781..48729
on x=_98497.._18186,y=_63569..3412,z=1232..88485
on x=_726..56291,y=_62629..13224,z=18033..85226
on x=_110886.._34664,y=_81338.._8658,z=8914..63723
on x=_55829..24974,y=_16897..54165,z=_121762.._28058
on x=_65152.._11147,y=22489..91432,z=_58782..1780
on x=_120100.._32970,y=_46592..27473,z=_11695..61039
on x=_18631..37533,y=_124565.._50804,z=_35667..28308
on x=_57817..18248,y=49321..117703,z=5745..55881
on x=14781..98692,y=_1341..70827,z=15753..70151
on x=_34419..55919,y=_19626..40991,z=39015..114138
on x=_60785..11593,y=_56135..2999,z=_95368.._26915
on x=_32178..58085,y=17647..101866,z=_91405.._8878
on x=_53655..12091,y=50097..105568,z=_75335.._4862
on x=_111166.._40997,y=_71714..2688,z=5609..50954
on x=_16602..70118,y=_98693.._44401,z=5197..76897
on x=16383..101554,y=4615..83635,z=_44907..18747
off x=_95822.._15171,y=_19987..48940,z=10804..104439
on x=_89813.._14614,y=16069..88491,z=_3297..45228
on x=41075..99376,y=_20427..49978,z=_52012..13762
on x=_21330..50085,y=_17944..62733,z=_112280.._30197
on x=_16478..35915,y=36008..118594,z=_7885..47086
off x=_98156.._27851,y=_49952..43171,z=_99005.._8456
off x=2032..69770,y=_71013..4824,z=7471..94418
on x=43670..120875,y=_42068..12382,z=_24787..38892
off x=37514..111226,y=_45862..25743,z=_16714..54663
off x=25699..97951,y=_30668..59918,z=_15349..69697
off x=_44271..17935,y=_9516..60759,z=49131..112598
on x=_61695.._5813,y=40978..94975,z=8655..80240
off x=_101086.._9439,y=_7088..67543,z=33935..83858
off x=18020..114017,y=_48931..32606,z=21474..89843
off x=_77139..10506,y=_89994.._18797,z=_80..59318
off x=8476..79288,y=_75520..11602,z=_96624.._24783
on x=_47488.._1262,y=24338..100707,z=16292..72967
off x=_84341..13987,y=2429..92914,z=_90671.._1318
off x=_37810..49457,y=_71013.._7894,z=_105357.._13188
off x=_27365..46395,y=31009..98017,z=15428..76570
off x=_70369.._16548,y=22648..78696,z=_1892..86821
on x=_53470..21291,y=_120233.._33476,z=_44150..38147
off x=_93533.._4276,y=_16170..68771,z=_104985.._24507
