 _75.2392   _9.27692
 _73.9953   _9.58273
 _72.7411   _9.89162
 _71.4877   _10.2007
 _70.2351     _10.51
 _68.9819     _10.82
 _67.7292   _11.1303
 _66.4758   _11.4412
 _65.2234   _11.7522
 _63.9704   _12.0639
 _62.7181   _12.3761
 _61.4653    _12.689
 _60.2125   _13.0026
 _58.9606   _13.3167
 _57.7089   _13.6316
  _56.457   _13.9477
 _55.2053   _14.2649
 _53.9546   _14.5832
 _52.7037   _14.9037
 _51.4546   _15.2261
 _50.2048   _15.5522
 _48.9574   _15.8813
 _47.7049   _16.1929
 _46.4482   _16.4862
 _45.1881   _16.7663
 _43.9258   _17.0366
 _42.6624    _17.299
 _41.3975   _17.5553
 _40.1312   _17.8069
  _38.864   _18.0544
 _37.5968   _18.2986
 _36.3287   _18.5403
   _35.06   _18.7797
 _33.7908   _19.0175
 _32.5222   _19.2536
 _31.2535   _19.4885
 _29.9846   _19.7225
 _28.7143   _19.9562
 _27.4445    _20.189
 _26.1755   _20.4216
 _24.9053   _20.6541
  _23.636   _20.8864
 _22.3662   _21.1189
 _21.0967   _21.3515
 _19.8264   _21.5844
  _18.557   _21.8176
 _17.2875   _22.0512
 _16.0178   _22.2855
 _14.7489   _22.5202
 _13.4799   _22.7556
 _12.2106   _22.9917
 _10.9418   _23.2286
 _9.67241   _23.4664
 _8.40418   _23.7049
 _7.13588   _23.9443
   _5.867   _24.1787
 _4.59661   _24.4054
  _3.3249   _24.6253
 _2.05266   _24.8392
_0.779042   _25.0477
 0.496377   _25.2518
  1.77075   _25.4511
   3.0469   _25.6467
  4.32359   _25.8386
  5.59974   _26.0271
  6.87703   _26.2125
  8.15477   _26.3951
   9.4331    _26.575
  10.7118   _26.7525
  11.9904   _26.9274
  13.2695   _27.1001
  14.5489   _27.2708
  15.8292   _27.4394
  17.1092   _27.6062
  18.3898   _27.7711
  19.6698   _27.9342
  20.9504   _28.0956
   22.231   _28.2556
  23.5123   _28.4139
  24.7929   _28.5707
  26.0743   _28.7261
  27.3556   _28.8801
  28.6377   _29.0328
  29.9201   _29.1844
  31.2022   _29.3344
  32.4849   _29.4833
  33.7672    _29.631
  35.0495   _29.7776
  36.3319   _29.9228
  37.6153   _30.0671
  38.8976     _30.21
  40.1809    _30.352
  41.4638   _30.4928
  42.7471   _30.6324
  44.0309   _30.7709
  45.3144   _30.9082
   46.598   _31.0443
  47.8813   _31.1791
  49.1656   _31.3124
  50.4495   _31.4439
  51.7383   _31.5175
  53.0282   _31.5681
  54.3182   _31.6187
  55.6089   _31.6692
  56.8986   _31.7198
  58.1886   _31.7704
  59.4788   _31.8209
  60.7691   _31.8715
  62.0583    _31.922
  63.3486   _31.9726
  63.8664   _32.9018
  64.0826   _34.1747
  64.2987   _35.4469
  64.5149   _36.7192
  64.7311   _37.9919
  64.9473   _39.2642
  65.1635   _40.5367
  65.3799   _41.8104
  65.5961   _43.0828
  65.3272   _43.7746
  64.1119   _43.3348
  62.8989   _42.8958
  61.6853   _42.4566
   60.471   _42.0172
  59.2567   _41.5777
  58.0433   _41.1386
  56.8297   _40.6994
  57.2427    _41.519
  57.9724    _42.584
  58.7025   _43.6496
   59.432   _44.7142
  60.1612   _45.7785
  60.8911   _46.8437
  61.6211   _47.9091
  62.3506   _48.9737
    63.08   _50.0384
  63.2733   _51.2694
  63.2726     _52.56
  63.2719   _53.8507
  63.2711   _55.1417
  63.2704   _56.4318
  63.2696   _57.7223
  63.2689   _59.0137
  63.2682   _60.3044
  62.2582   _60.1597
  61.0436   _59.7238
  59.8278   _59.2875
  58.6134   _58.8517
  57.3983   _58.4156
  56.1836   _57.9797
  54.9681   _57.5435
