___ scanner 0 ___
553,_930,633
22,_14,_82
_758,_820,_811
_59,_179,30
772,571,_773
_732,400,410
497,_683,_734
542,_611,_585
_669,715,_400
669,487,755
_711,725,_368
_705,757,_586
_659,_847,_873
_704,_656,284
_712,396,445
606,_641,_637
_683,_527,419
661,_941,746
_630,_841,_885
717,_905,711
628,678,_750
_713,_686,353
451,494,795
549,586,823
753,664,_766
_664,260,405

___ scanner 1 ___
150,_21,80
560,608,_665
_497,800,859
_617,462,_426
_401,_827,_440
_410,_854,_403
_560,478,_546
680,_806,_412
415,664,_726
_472,639,846
443,525,_670
_651,_652,480
622,431,481
642,471,632
_769,_631,358
683,_753,_569
_562,682,885
695,_695,_508
443,_341,754
508,452,544
380,_323,830
_646,_594,447
_5,_7,_54
_594,504,_534
_313,_784,_330
604,_326,763

___ scanner 2 ___
_469,896,_801
_270,856,332
684,937,_791
561,801,432
_297,_463,534
_332,_476,543
106,55,_63
_289,_706,_490
871,_732,_578
608,_518,585
823,_671,_458
706,955,_608
_539,960,_658
626,835,369
_255,782,354
685,914,_601
_370,953,_662
_303,947,332
635,_463,661
555,_567,601
_364,_546,571
_389,_737,_641
759,796,369
_380,_817,_512
796,_656,_439

___ scanner 3 ___
_403,837,570
520,499,402
681,585,_445
378,_393,_561
_48,61,_139
639,551,_453
_610,310,_743
_499,_770,377
_607,_807,_598
_617,_888,_574
781,_575,750
_521,715,591
_787,_878,_611
626,_534,670
_675,336,_861
706,_572,591
595,353,438
774,472,_427
_526,748,533
_531,_676,374
306,_532,_484
_488,_775,511
577,455,446
366,_520,_404
_131,_74,32
_700,349,_700

___ scanner 4 ___
827,658,_478
_400,462,_639
_468,_727,_688
660,_747,_728
_357,371,_633
441,303,344
_509,_657,_722
10,30,_24
579,_916,427
_714,_767,612
716,_742,_721
672,_896,459
_332,549,642
671,_811,_572
_854,_720,687
72,_138,98
486,291,504
_439,_743,_647
_456,446,683
_79,_144,_74
574,_865,424
482,320,433
802,551,_459
_455,478,_664
849,419,_473
_796,_799,733
_449,564,676

___ scanner 5 ___
_69,40,_4
377,_478,_506
473,753,_868
531,_337,490
_445,493,829
_439,676,_606
528,780,635
_685,_811,_616
621,_376,533
708,851,622
_490,657,_470
358,_571,_499
_718,_578,780
_682,_921,_598
_437,518,_539
455,576,_795
_853,_499,806
_760,_612,788
_457,366,672
538,861,659
_385,505,749
_763,_898,_614
548,758,_801
22,_106,_130
596,_363,372
502,_464,_522

___ scanner 6 ___
_637,_865,_682
531,_843,650
_599,_697,_597
580,_787,654
_496,700,683
427,674,712
291,714,664
525,324,_451
518,364,_669
617,296,_549
_874,408,_717
545,_690,_354
_631,_521,526
613,_485,_369
573,_647,_344
_597,_863,_657
_552,_503,511
_655,766,713
_482,_425,563
431,709,732
_910,373,_661
_625,835,704
515,_698,536
13,_74,8
_899,486,_553
_133,47,113

___ scanner 7 ___
767,_409,453
754,912,_404
847,_482,_606
772,_472,651
678,826,_405
850,_380,_700
_547,_625,604
_685,399,416
806,_409,586
_529,_754,_809
_761,538,341
707,_447,_642
_41,77,_156
_531,461,_854
908,751,528
_596,_641,657
885,561,527
_539,450,_743
926,568,506
115,49,_30
630,811,_429
_700,418,389
_492,_701,577
_604,477,_853
_481,_684,_831
_606,_653,_736

___ scanner 8 ___
_854,_427,678
597,_385,_519
871,717,892
399,409,_257
466,412,_481
370,_714,620
25,85,21
_741,658,807
_646,_759,_614
685,_366,_385
_510,731,_635
_573,818,_576
749,738,774
344,_596,685
_624,_786,_610
_578,608,_652
_773,_451,688
_620,_764,_683
_844,_464,508
383,_553,595
_736,524,796
748,_345,_499
782,680,769
_642,521,764
475,427,_320

___ scanner 9 ___
330,658,617
_827,849,662
456,_398,589
451,_258,657
399,688,608
_674,_561,_329
568,713,_676
483,627,_650
_24,70,55
_625,_635,_473
_627,_643,_370
311,_520,_402
_765,822,563
_540,_755,616
465,529,638
_573,500,_636
_839,843,691
380,_465,_355
_593,524,_691
491,_394,609
430,743,_766
449,_549,_409
_322,_723,610
_354,_713,652
_601,424,_733

___ scanner 10 ___
545,_423,_683
596,662,724
_58,_67,16
_711,_661,734
427,544,_696
487,464,_592
_807,626,_582
_735,598,459
_805,470,_672
45,81,_106
_688,673,319
554,_388,_696
_625,_736,664
_407,_628,_414
510,_678,718
_566,_631,_489
_767,719,377
517,_455,_613
478,669,717
_695,_702,705
494,_653,773
581,628,841
_487,_669,_569
503,517,_641
_807,376,_543
403,_647,816

___ scanner 11 ___
533,435,363
77,_27,28
_659,811,_533
_657,402,575
445,759,_670
622,_693,_435
_775,_905,822
_758,868,_672
_739,_822,_693
_839,_791,_844
315,438,353
_748,_902,_822
_883,414,581
570,_639,_585
_589,875,_676
457,463,317
_735,_867,839
_718,382,630
879,_571,468
857,_506,360
562,_703,_647
_893,_856,825
410,630,_544
848,_449,499
_55,58,_78
313,738,_615

___ scanner 12 ___
_638,_396,685
_747,_475,_779
282,_738,410
366,645,357
_683,_457,589
519,655,_765
308,_801,442
_821,_531,_640
_857,345,750
349,661,_813
_632,_480,_659
431,732,_736
_907,502,726
274,597,416
_116,40,9
267,_816,_551
_499,566,_846
_7,_62,101
_499,496,_665
337,_845,_715
458,645,478
243,_807,_722
_706,_440,535
_506,645,_664
_828,542,774
360,_763,564

___ scanner 13 ___
430,_312,965
813,714,694
_792,494,_664
510,675,_491
_542,_631,556
843,_506,_572
902,837,657
_777,420,_686
840,_511,_682
506,_375,947
521,628,_626
_479,_690,643
497,_536,962
_705,741,850
_710,752,716
846,_382,_615
_547,_707,766
_358,_425,_315
_325,_436,_429
780,719,636
76,_4,164
_370,_458,_274
535,704,_599
_611,709,853
_744,329,_686

___ scanner 14 ___
646,686,557
794,_843,275
_743,_649,688
527,818,_730
754,763,461
776,_780,351
791,_619,342
_670,731,_449
_742,400,492
_872,371,379
_600,_719,_480
560,754,_556
_111,53,_167
_786,_773,691
8,112,_15
_445,_697,_525
605,729,557
472,_465,_634
_580,669,_591
_486,_730,_513
385,_524,_697
_834,478,522
465,839,_515
_691,573,_545
595,_448,_702
_853,_644,685

___ scanner 15 ___
_509,698,528
403,_769,738
_582,_732,324
561,_921,_734
537,_928,_744
_656,767,_707
385,509,428
_602,704,346
_592,_756,243
84,11,10
687,613,_384
_615,_511,_520
_527,771,351
_63,_62,_82
391,_926,611
_762,_719,253
775,561,_476
564,572,_511
_655,_432,_568
_689,644,_607
436,373,447
507,_894,_715
_667,595,_604
383,442,586
_812,_482,_544
331,_846,599

___ scanner 16 ___
_466,506,550
_390,564,502
_561,_665,415
_332,_874,_399
904,_880,_496
853,_883,_491
134,_117,36
_723,211,_497
_576,_631,532
_303,_803,_403
884,_848,_589
_340,637,535
656,736,_297
590,508,818
484,731,_358
_315,_963,_358
_710,393,_429
755,_695,797
_28,_75,175
_458,_624,539
_839,300,_506
708,_620,937
582,646,_319
787,_574,879
522,543,908
543,586,925

___ scanner 17 ___
_593,_517,_544
611,806,_502
_670,_513,390
_553,_436,361
_953,724,_810
720,_383,_726
573,_372,585
555,427,452
_594,_455,_710
_632,_406,_554
526,_325,730
578,555,557
_791,551,386
600,_386,_865
500,510,494
_683,400,384
_611,_498,288
464,_329,619
_774,426,334
_946,684,_875
548,_358,_653
_126,110,10
472,776,_535
_908,625,_877
568,874,_466

___ scanner 18 ___
_821,_595,507
422,_488,_712
620,_739,880
_802,_688,514
_107,66,80
581,817,395
_546,659,546
357,726,_639
_646,602,_686
610,823,407
_680,590,_660
_703,482,_702
_583,_803,_364
662,_749,912
_648,_829,_482
474,721,_556
656,_781,694
556,_576,_693
536,_425,_733
62,35,_50
709,796,469
_677,_702,530
_591,587,695
_655,617,643
329,782,_500
_558,_790,_525

___ scanner 19 ___
528,_537,489
_727,_770,_391
_606,_766,673
_666,637,501
_547,_868,658
_707,514,374
564,_662,_350
827,640,724
_655,426,466
_536,818,_596
800,694,705
_710,_822,_266
_467,765,_457
_489,_795,596
26,35,_4
834,664,734
637,_571,532
590,_426,485
_108,_80,89
752,870,_609
619,_704,_267
832,810,_621
642,_599,_395
_603,816,_438
_619,_772,_240
675,798,_748

___ scanner 20 ___
_671,435,_820
546,_344,_614
_714,695,650
_648,663,563
_714,_698,421
_514,_621,_945
673,527,808
_724,648,499
863,730,_812
_680,_744,490
826,_578,479
908,860,_846
_678,467,_695
_756,411,_714
767,_482,442
_8,81,_26
_571,_700,537
568,_317,_618
_610,_576,_884
59,_73,_109
922,_469,561
718,565,685
572,_339,_545
606,572,754
_664,_553,_901
815,789,_914

___ scanner 21 ___
_556,781,614
_525,_572,690
_408,_549,_772
776,_526,809
876,_375,778
_373,_675,_643
_276,_604,_751
833,658,548
795,_547,_881
626,_543,_888
895,447,_784
_585,_784,680
_533,_634,626
801,686,618
_632,830,645
_43,77,_13
_392,642,_529
785,_397,889
862,447,_875
_403,507,_576
696,_686,_824
868,649,535
_776,778,588
910,469,_710
113,_73,10
_417,534,_500

___ scanner 22 ___
_629,_395,593
543,_813,556
431,_744,563
_477,586,273
_641,_475,_530
592,_375,_616
476,_867,601
334,855,339
_128,_59,_179
241,787,268
265,836,_739
362,885,_655
_467,544,241
764,_453,_569
_10,59,_78
_555,_539,544
_435,550,459
340,850,_740
286,753,398
_796,543,_572
_932,591,_532
_792,523,_537
_547,_436,546
_670,_468,_392
527,_445,_515
_725,_421,_461

___ scanner 23 ___
_874,_814,_462
346,722,664
372,587,585
780,_727,800
_504,594,_566
_483,468,637
_436,551,_682
768,693,_632
_417,668,_663
_6,_138,_25
442,_607,_485
364,629,551
484,_630,_593
619,_752,787
_527,525,681
674,574,_710
_847,_823,_499
_672,_573,421
_614,_578,388
_651,_455,299
458,_664,_605
_519,543,783
_804,_911,_389
719,701,_750
662,_662,826

___ scanner 24 ___
278,393,_688
256,466,_692
264,_822,739
250,_887,531
408,_713,_338
_626,_837,_542
_921,694,_352
_948,451,356
_633,_906,_654
_850,762,_445
20,_112,_21
_645,_632,444
_643,_529,436
676,691,617
421,_594,_493
697,577,680
657,557,529
283,462,_714
_916,493,366
_596,_488,518
_791,660,_397
_588,_960,_587
517,_631,_434
_730,457,324
_174,28,_57
311,_824,493

___ scanner 25 ___
_55,_67,_152
280,784,_545
_880,363,671
_570,_335,_820
343,721,_577
709,_522,_558
_181,15,_19
256,645,_609
_466,403,_611
_750,390,569
_556,398,_767
_720,_464,527
689,_577,_619
236,_624,244
_436,443,_751
247,_713,250
677,_571,_393
_690,_459,490
282,_561,265
_671,_456,_795
_721,_432,661
_623,_326,_736
548,399,586
_892,361,555
529,426,646
458,340,608

___ scanner 26 ___
_378,373,836
905,463,_574
_585,599,_595
_462,531,_612
897,_556,655
610,265,548
_376,_925,798
79,_144,191
_292,_872,_585
_672,536,_536
_468,_804,798
_318,_840,_648
573,255,718
_284,_866,750
628,_597,_243
847,_532,498
_512,368,847
597,336,728
932,485,_570
910,489,_643
110,_27,16
_375,467,804
696,_747,_287
818,_508,695
_370,_718,_610
673,_693,_304

___ scanner 27 ___
_700,_871,449
627,417,_600
_484,625,_794
801,_541,711
_698,427,411
_725,_382,_740
801,_674,672
_405,663,_714
636,382,_587
816,340,658
_723,_476,_611
_564,422,400
_725,_632,_701
156,_97,_89
585,_523,_642
_608,_750,449
_10,21,29
738,_476,677
599,449,_670
509,_550,_587
838,388,823
838,355,732
_325,622,_869
569,_470,_691
_701,521,443
_792,_812,497

___ scanner 28 ___
594,_771,823
508,_330,_308
_122,_62,166
495,516,_707
413,563,_666
_933,_412,724
780,690,506
470,_391,_371
524,_810,823
716,_344,_373
_516,_501,_601
637,_701,850
_677,553,_289
_916,_435,813
_610,508,_235
_931,_582,812
_361,_488,_482
17,16,_14
808,660,430
_420,632,844
_605,641,743
_457,_597,_564
_565,546,_358
421,565,_563
_533,666,763
716,641,612

___ scanner 29 ___
444,_434,_597
90,_100,_134
517,_611,_579
_459,412,550
_283,_772,_801
654,393,705
_519,438,500
_4,19,16
_597,471,_852
842,_530,366
511,_429,_672
_372,381,474
571,524,_759
_398,_770,_845
602,301,617
_598,_373,625
_404,_410,653
643,428,494
_623,415,_837
_561,494,_956
773,_669,313
_530,_502,692
620,521,_737
448,624,_726
706,_511,315
_390,_600,_818

___ scanner 30 ___
_622,_699,477
702,_813,_440
750,_754,_542
225,652,552
433,320,_740
_784,_459,_534
_538,407,529
510,_802,635
306,628,562
_627,597,_409
455,293,_736
_791,_491,_659
_166,_112,_41
795,_884,_508
333,_875,617
235,615,382
328,_808,542
_625,_748,455
_725,_871,488
_723,552,_470
_562,378,332
_44,51,17
459,315,_809
_777,529,_453
_586,328,489
_869,_435,_640

___ scanner 31 ___
_873,787,672
639,_655,_374
_471,_339,_658
_901,689,764
_711,685,_752
559,632,_463
_100,61,115
_789,521,_727
507,696,_433
_741,_588,630
40,_29,6
_792,_409,653
656,741,_505
672,610,856
732,_729,_466
596,_574,399
_833,569,665
_472,_449,_601
_824,577,_763
695,466,749
578,_577,509
_799,_487,520
688,485,842
_428,_364,_643
580,_655,422
675,_778,_297

___ scanner 32 ___
_957,_282,_805
411,637,903
_723,366,860
561,_436,_771
690,_427,_851
_15,134,48
712,_336,_740
624,824,_766
_762,_457,433
401,_516,862
763,749,_690
544,_586,926
_788,398,_668
_882,431,_699
_103,_22,_61
_923,411,_609
_954,_400,_854
540,_417,919
_971,_440,_816
594,659,921
_713,_292,465
_707,_518,453
744,776,_705
601,638,880
_571,351,895
_660,345,906

___ scanner 33 ___
_575,439,789
_118,_54,_45
586,651,_494
545,548,_370
_739,_723,628
_800,_804,_789
_836,_724,617
264,_499,_776
671,_755,401
790,_760,379
_720,_757,_921
701,_790,292
407,806,448
238,_389,_748
_869,_786,_904
_730,726,_395
_761,619,_493
579,533,_487
338,_473,_809
247,794,403
_736,635,_438
_570,678,811
336,777,444
_556,546,764
_725,_594,590

___ scanner 34 ___
_432,673,609
_38,_35,4
_663,697,_884
_793,_409,_534
_554,615,_788
653,618,904
709,847,_763
_434,557,752
_511,_809,552
_650,578,_729
_556,_748,648
409,_467,827
614,762,_722
589,552,845
_815,_482,_530
579,_440,_576
487,_442,673
592,654,845
_579,_765,702
435,_404,795
112,33,98
_388,626,718
_788,_478,_508
702,_457,_644
789,_516,_581
647,826,_548

___ scanner 35 ___
_433,_537,429
376,819,_931
429,735,_940
_29,0,17
341,_388,419
_871,392,_695
526,_528,_802
_474,616,419
588,688,400
527,_662,_834
_903,557,_744
477,794,_810
541,601,426
_160,122,_40
_417,517,558
_441,_251,_553
_410,686,562
328,_389,566
389,_393,660
_430,_245,_642
636,522,377
496,_491,_807
_883,618,_689
_415,_559,612
_476,_266,_705
_456,_538,619

___ scanner 36 ___
_34,_74,_153
364,605,_761
436,_389,469
784,_704,_536
699,754,537
723,835,527
554,_363,534
_840,_443,_776
386,601,_834
_622,_411,_770
_435,_597,707
_683,310,_567
_808,_453,_734
_737,732,517
_442,_504,688
597,_402,444
805,_767,_650
391,627,_765
_813,265,_533
686,825,357
765,_616,_670
_731,550,610
_458,_490,563
_742,358,_465
_804,727,592

___ scanner 37 ___
_743,351,_500
696,_350,461
556,_646,_291
526,_617,_325
_563,422,_487
_444,454,622
750,657,702
567,_444,463
_455,459,488
_33,_42,135
_493,_718,578
670,695,781
_793,_446,_737
410,709,_293
422,836,_450
_573,341,_463
350,697,_373
_487,553,485
657,_600,461
80,120,_43
_636,_470,_787
_596,_422,_708
_541,_780,394
825,654,861
_493,_839,486
580,_636,_298

___ scanner 38 ___
826,_549,_638
_554,372,807
360,744,645
_39,_57,38
_639,700,_756
800,_857,527
2,123,_43
808,_571,_455
_861,_384,_668
_484,377,672
765,_842,679
_704,810,_729
530,386,_395
409,795,531
_785,_459,_807
_704,_797,879
785,_570,_645
_763,_810,744
481,776,724
578,362,_380
_631,811,_745
654,361,_294
_546,497,704
811,_863,616
_800,_432,_788
_794,_777,838

