___ scanner 0 ___
404,_588,_901
528,_643,409
_838,591,734
390,_675,_793
_537,_823,_458
_485,_357,347
_345,_311,381
_661,_816,_575
_876,649,763
_618,_824,_621
553,345,_567
474,580,667
_447,_329,318
_584,868,_557
544,_627,_890
564,392,_477
455,729,728
_892,524,684
_689,845,_530
423,_701,434
7,_33,_71
630,319,_379
443,580,662
_789,900,_551
459,_707,401

___ scanner 1 ___
686,422,578
605,423,415
515,917,_361
_336,658,858
95,138,22
_476,619,847
_340,_569,_846
567,_361,727
_460,603,_452
669,_402,600
729,430,532
_500,_761,534
_322,571,750
_466,_666,_811
_429,_592,574
_355,545,_477
703,_491,_529
_328,_685,520
413,935,_424
_391,539,_444
586,_435,557
_364,_763,_893
807,_499,_711
755,_354,_619
553,889,_390

___ scanner 2 ___
649,640,665
682,_795,504
_784,533,_524
_644,584,_595
_588,_843,648
_30,6,44
_674,560,763
500,723,_460
609,671,_379
_555,_800,653
_675,_892,_343
697,_426,_610
578,704,681
493,664,_388
_671,_858,530
_667,343,800
571,_461,_707
_138,_166,112
_889,563,_600
646,_828,498
640,759,510
_630,509,768
_681,_892,_333
673,_379,_804
_742,_814,_386
577,_820,562

___ scanner 3 ___
_589,542,597
605,_692,669
_500,565,_823
_660,373,557
_458,_679,_417
_488,449,543
_626,468,_788
338,_750,_386
528,_832,_391
562,_778,733
_938,_730,414
543,643,_506
_524,371,_870
407,773,750
_104,29,83
378,_903,_323
_778,_728,485
426,699,580
_438,_605,_362
_469,_447,_387
509,732,623
647,635,_688
_868,_804,481
614,_800,639
595,780,_596

___ scanner 4 ___
727,592,562
_293,_554,779
441,611,_461
_714,465,_776
_743,427,_804
_660,_479,_426
832,_632,460
927,_485,_438
408,393,_506
466,436,_512
110,16,151
_258,_428,682
_393,719,612
_211,_452,876
808,_476,_593
_575,615,604
_485,667,467
_680,325,_822
_627,_443,_432
872,_547,_609
833,512,582
807,604,487
839,_516,451
891,_625,532
_652,_548,_490
30,_46,_14

